epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0161,0.91294,1.48182,1.04615,0.99937,1,0.995,0.80527,0.72817,0.83281,0.96015,0.000661417,0.000661417,0.000661417
2,102.649,0.8658,0.73631,0.99204,0.99984,1,0.995,0.8034,0.74128,0.48174,0.9637,0.00131494,0.00131494,0.00131494
3,149.114,0.87226,0.57331,0.99699,0.9988,1,0.995,0.80345,0.72699,0.45008,0.95284,0.00195525,0.00195525,0.00195525
4,196.464,0.86116,0.50961,0.99254,0.99962,1,0.995,0.81146,0.74349,0.37207,0.96128,0.0019406,0.0019406,0.0019406
5,243.102,0.83163,0.46992,0.983,0.99984,1,0.995,0.82052,0.73177,0.34485,0.95598,0.0019208,0.0019208,0.0019208
6,289.539,0.8431,0.44731,0.97783,0.99982,1,0.995,0.81282,0.73721,0.34689,0.95847,0.001901,0.001901,0.001901
7,338.967,0.83417,0.43603,0.98007,0.99962,1,0.995,0.82833,0.71535,0.33382,0.94949,0.0018812,0.0018812,0.0018812
8,386.414,0.82239,0.41759,0.97054,0.99978,1,0.995,0.81635,0.733,0.32217,0.95018,0.0018614,0.0018614,0.0018614
9,432.648,0.79856,0.40026,0.95899,0.99984,1,0.995,0.81397,0.74505,0.31315,0.95608,0.0018416,0.0018416,0.0018416
10,481.364,0.80526,0.40031,0.97037,0.99978,1,0.995,0.84426,0.70305,0.30433,0.94279,0.0018218,0.0018218,0.0018218
11,528.601,0.81481,0.40131,0.97398,0.99968,1,0.995,0.82387,0.6864,0.31231,0.9371,0.001802,0.001802,0.001802
12,576.699,0.79808,0.39253,0.9556,1,0.99983,0.995,0.82918,0.75082,0.30585,0.96408,0.0017822,0.0017822,0.0017822
13,623.335,0.79371,0.38214,0.96489,0.99761,1,0.995,0.82743,0.70075,0.30337,0.93934,0.0017624,0.0017624,0.0017624
14,670.387,0.79639,0.37697,0.95708,0.99987,1,0.995,0.84725,0.6792,0.29353,0.92993,0.0017426,0.0017426,0.0017426
15,719.006,0.7912,0.37913,0.96037,0.99987,1,0.995,0.83213,0.71225,0.28934,0.94207,0.0017228,0.0017228,0.0017228
16,765.813,0.79242,0.37583,0.96217,0.99986,1,0.995,0.8194,0.72046,0.29451,0.94758,0.001703,0.001703,0.001703
17,812.075,0.77619,0.36907,0.95529,0.99985,1,0.995,0.84068,0.6853,0.28139,0.93238,0.0016832,0.0016832,0.0016832
18,859.863,0.77327,0.37322,0.94886,0.99983,1,0.995,0.83691,0.68927,0.27823,0.93774,0.0016634,0.0016634,0.0016634
19,905.671,0.79279,0.37425,0.9618,0.99986,1,0.995,0.84037,0.69342,0.28675,0.93677,0.0016436,0.0016436,0.0016436
20,951.861,0.7741,0.36219,0.95372,0.99985,1,0.995,0.81888,0.72891,0.28903,0.9541,0.0016238,0.0016238,0.0016238
21,1000.02,0.77228,0.3597,0.95821,0.99985,1,0.995,0.83992,0.70731,0.28145,0.93996,0.001604,0.001604,0.001604
22,1046.07,0.77061,0.3556,0.95557,0.99982,1,0.995,0.82811,0.70378,0.27575,0.9407,0.0015842,0.0015842,0.0015842
23,1093.23,0.7827,0.36368,0.95588,0.99985,1,0.995,0.83987,0.68728,0.26891,0.93388,0.0015644,0.0015644,0.0015644
24,1140.62,0.78494,0.35722,0.96044,0.99986,1,0.995,0.82763,0.69699,0.28061,0.94147,0.0015446,0.0015446,0.0015446
25,1187.14,0.77334,0.35474,0.95089,0.99987,1,0.995,0.84211,0.68083,0.2721,0.92852,0.0015248,0.0015248,0.0015248
26,1234.51,0.78061,0.35401,0.95199,0.99987,1,0.995,0.83029,0.72861,0.28029,0.95061,0.001505,0.001505,0.001505
27,1281.2,0.76608,0.3515,0.94882,0.99986,1,0.995,0.83966,0.68536,0.26968,0.93004,0.0014852,0.0014852,0.0014852
28,1327.3,0.75539,0.34432,0.94353,0.99983,1,0.995,0.83829,0.67656,0.26017,0.92768,0.0014654,0.0014654,0.0014654
